player_id,W,L,SV,ERA,G,GS,IP,HA,R,ER,HR,BB,K,WHIP,OAVG,BABIP,BF,FIP,K/9,BB/9,HR/9
23864,5,4,0,3.35,50,0,75.3,64,29,28,9,38,100,1.35,0.221,0.304,328.0,3.61,12.0,4.5,1.1
23909,3,1,1,2.73,40,0,62.7,40,20,19,5,41,77,1.29,0.175,0.24,269.0,3.74,11.1,5.9,0.7
24007,4,4,5,4.15,60,0,56.3,39,29,26,4,29,56,1.21,0.188,0.236,237.0,3.68,9.0,4.6,0.6
24057,11,5,1,4.43,35,2,156.3,175,92,77,24,64,123,1.53,0.272,0.304,708.0,4.85,7.1,3.7,1.4
24131,4,1,4,2.32,43,0,62.0,42,19,16,5,30,88,1.16,0.184,0.274,258.0,2.86,12.8,4.4,0.7
24161,18,7,0,3.45,35,35,211.3,194,88,81,16,49,179,1.15,0.234,0.281,877.0,3.19,7.6,2.1,0.7
24258,5,2,41,2.53,63,0,53.3,27,16,15,2,38,86,1.22,0.144,0.253,225.0,2.6,14.5,6.4,0.3
24281,15,8,0,4.79,35,35,184.0,210,102,98,16,71,156,1.53,0.276,0.329,833.0,3.79,7.6,3.5,0.8
24383,2,2,1,4.59,53,0,80.3,73,44,41,10,58,93,1.63,0.232,0.299,372.0,4.67,10.4,6.5,1.1
24475,7,11,0,5.05,32,32,178.3,223,110,100,28,44,161,1.5,0.294,0.343,802.0,4.18,8.1,2.2,1.4
24503,7,3,1,2.53,50,0,74.7,59,23,21,6,18,79,1.03,0.208,0.268,301.0,2.85,9.5,2.2,0.7
24515,1,3,42,2.77,58,0,61.7,50,21,19,5,12,89,1.01,0.213,0.319,247.0,1.95,13.0,1.8,0.7
